address,name,basename
0x4d389ddfa4984735b6988b2d853522925ee8ec6b,jbpunke,jpunke.base.eth
0x3434650a49De4155056975dc8d5a6E4692ec26d6,thedefifox,thedefifox.base.eth
0x79e47f12fe6382cfb29e8e7dc05c57b5c04cc814,paesan5,paesan.base.eth
0xdf53adbc2fea827c3ea675d3122bec89ccbc1af4,arcturus,arcturus.base.eth
0xe239ed8B146C6629Df4B1FBFc6612105e3Ff2977,toastonbase,zksnarky.base.eth
0x6989E6507DaC1376502a5639E01259a778dB35DE,spudnik,spudnik.base.eth
0x3FF23652c47477B69B6b7bc90A79a515860b7165,basejunkie,topitribe.base.eth
0x6efc71671871721870559d403eedada072245e54,bill,
0x8ba0d7704df6a610f4ce9937d31e0bbc19717311,asendic,asendic.base.eth
0x4F0Fc5389bc726E9627fDD50e4094e0099d796F7,mathburn666,
0x585D3eF48e12cb1be6837109b0853afe78B5eBE3,drytortuga,drytortuga.base.eth
