address,name,basename
0x09087fd95c1fc7908a1cb2a9817ab97a8ce5e21f,osthelka,osthelka.base.eth
0x698129a056958096fae36afcb862f994fbcf0b04,windego,windego.base.eth
0xd14d1Ff519e11A26D577d48C7662171e547E5e5B,poolguy,poolguy.base.eth
0xdD9C5b8893434da7A4cE0ADA32Db13d0770a0116,krakencoke,krakencoke.base.eth
0x91a0c767e86e832d279faa2b4b9deda28bbb26ce,million,million.base.eth
0x5e73780a7c8bf01910ec0A9df109e1a2F930f5ca,rob,speaknow.base.eth
0x854819ac8bB4626c9598C7C7004bd47268455470,crunklez,crunklez.base.eth
0x94aDC221AE23881944430E1810e2bB44A621E440,tara,tara.base.eth
0xa32fc2c4e09e71ec3a104f74ce4651117b4a90b7,chewbs,chewbs.base.eth
0xa3be825bb9cd4dbdab4a7f599f9294bafbd58174,mewa_works,syren.base.eth
